codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,pagina_catalogo,estado_previo,confianza_extraccion,requiere_revision
102533,ACEM-34,"Aceite mineral para compresor, 1 L","Aceite mineral para compresor, 1 L",1 L (34 @N),,180,200,220,18,pendiente,alta,false
102932,ACEH-34,"Aceite para gato hidráulico, 1 L","Aceite para gato hidráulico, 1 L",1 L (34 @N),,165,180,200,18,pendiente,alta,false
102931,ABC-34,"Aceite lubricante para barra y cadena de motosierra, 1 L","Aceite lubricante para barra y cadena de motosierra, 1 L",1 L (34 @N),,180,200,220,18,pendiente,alta,false
14991,ACES-2,Aceites sintéticos de 2 tiempos - 60 ml (2 @N) 3 L (0.8 g.l) 10,Aceites sintéticos de 2 tiempos,60 ml (2 @N) 3 L (0.8 g.l) 10,,29,32,35,18,pendiente,alta,false
17624,ACES-5,Aceites sintéticos de 2 tiempos - 100 ml (3 @N) 5 L (1.3 g.l) 6,Aceites sintéticos de 2 tiempos,100 ml (3 @N) 5 L (1.3 g.l) 6,,42,46,51,18,pendiente,alta,false
17625,ACES-20,Aceites sintéticos de 2 tiempos - 400 ml (14 @N) 20 L (5.2 g.l) 6,Aceites sintéticos de 2 tiempos,400 ml (14 @N) 20 L (5.2 g.l) 6,,117,127,140,18,pendiente,alta,false
101975,WT-400CA,"Lubricante de cadenas en aerosol, 400 ml","Lubricante de cadenas en aerosol, 400 ml",400 ml (14 @N),,85,95,105,18,pendiente,alta,false
101976,WT-400SP,"Lubricante penetrante en aerosol, 400 ml","Lubricante penetrante en aerosol, 400 ml",400 ml (14 @N),,72,79,87,18,pendiente,alta,false
101974,WT-300GL,"Grasa blanca de litio en aerosol, 295 ml","Grasa blanca de litio en aerosol, 295 ml",295 ml (10 @N),,85,95,105,18,pendiente,alta,false
101977,WT-240TE,"Lubricante seco PTFE en aerosol, 240 ml","Lubricante seco PTFE en aerosol, 240 ml",240 ml (8 @N),,85,95,105,18,pendiente,alta,false
14928,ACES-4T-14,Aceites semisintéticos de 4 tiempos - 400 ml (14 @N),Aceites semisintéticos de 4 tiempos,400 ml (14 @N),,77,85,95,18,pendiente,alta,false
14929,ACES-4T-34,Aceites semisintéticos de 4 tiempos - 1 L (34 @N),Aceites semisintéticos de 4 tiempos,1 L (34 @N),,157,172,187,18,pendiente,alta,false
17247,COMP-AERO,»,»,,,1600,1680,1765,98,pendiente,media,true
103321,R-COMP-60LB,"2 #G32.E 8"" 1 q⁄sx"" 23 D3BG3EF@ B.D. COP-120 M COP-60B","2 #G32.E 8"" 1 q⁄sx"" 23 D3BG3EF@ B.D. COP-120 M COP-60B",,,435,475,525,98,pendiente,media,true
